# None  Misspec0.1 Misspec0.2  Benchmark
30.2    20.5       12.7  dijkstra
10.2    6.1        4.07  052.alvinn
23.7    8.8        5.5   179.art
25      11.7       7.9   blackscholes
25.7    12.6       7.8   swaptions
28.2    14.7       8.5   enc-md5
