# Benchmark breakdown of overheads
# Columns are in the order:
# - Useful Work
# - Replicated Stage
# - Private Reads
# - Private Writes
# - Checkpoints
# - Spawn/join (also setup in LSD)
# Note that LSD comes first
#
# 2mm           3mm             gemm            dijkstra       052.alvinn   179.art         blackscholes    swaptions      doitgen         enc-md5
100     144.53  100     107.13  100     122.06  100     1542   100    264.8 100     419.9   100     104.94  100     99.93  100     99.33   100     361.45
0.00022 0.00022 0.0002  0.00023 0.00026 0.00026 0.00085 0.0015 2.215  3.834 0.00005 0.00009 0.00002 0.00006 0.00091 0.0017 0.00008 0.00008 0.0009  0.0016
0       0       0       0       0       0       0       442.08 0      50.13 0       20.03   0       0       0       0      0       0       0.00004 0.029
0       0.011   0       0.0129  0       0.0122  0.00012 522.42 2.694  66    0.707   253.52  0       4.176   0.0035  0.0034 0       0.72    0.0004  164.45
0.00069 1.76    0.00072 3.011   0.00078 0.843   0.0092  0.007  20.267 13.78 0.0011  0.0044  0.00091 0.812   0.0198  0.0185 0.00034 20.27   0.0142  0.0069
0.0229  0.0079  0.031   0.0085  0.00028 0.0098  0.00082 0.023  5.33   5.46  0.00053 7.496   0.00144 0.003   0.0002  0.0087 0.00054 0.0167  0.002   0.0833
